anime_id,title,image_url,genre,aired_from_year,Vampire,Supernatural,Parody,Mystery,Game,Shounen Ai,Action,Dementia,Shounen,Harem,Shoujo,Seinen,Yaoi,Hentai,Military,Cars,School,Drama,Space,Comedy,Horror,Samurai,Adventure,Sci-Fi,Ecchi,Thriller,Shoujo Ai,NULL,Fantasy,Music,Martial Arts,Yuri,Sports,Historical,Slice of Life,Police,Mecha,Magic,Super Power,Demons,Josei,Kids,Romance,Psychological
5835,Hanasakeru Seishounen,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg,"Drama, Romance, Shoujo",2009.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9863,SKET Dance,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg,"Comedy, School, Shounen",2011.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7817,B-gata H-kei,https://myanimelist.cdn-dena.com/images/anime/4/75227.jpg,"Comedy, Romance, Ecchi, School, Seinen",2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
966,Crayon Shin-chan,https://myanimelist.cdn-dena.com/images/anime/10/59897.jpg,"Slice of Life, Comedy, Ecchi, School, Seinen",1992.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,Fruits Basket,https://myanimelist.cdn-dena.com/images/anime/4/75204.jpg,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",2001.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
957,Saiunkoku Monogatari,https://myanimelist.cdn-dena.com/images/anime/1/957.jpg,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",2006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,One Piece,https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",1999.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1974,Glass no Kamen (2005),https://myanimelist.cdn-dena.com/images/anime/1/2043.jpg,"Drama, Shoujo",2005.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,Air Gear,https://myanimelist.cdn-dena.com/images/anime/11/18227.jpg,"Action, Comedy, Ecchi, Shounen, Sports",2006.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1914,Saiunkoku Monogatari 2nd Season,https://myanimelist.cdn-dena.com/images/anime/5/73277.jpg,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",2007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
249,InuYasha,https://myanimelist.cdn-dena.com/images/anime/8/20483.jpg,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",2000.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
6645,Chu-Bra!!,https://myanimelist.cdn-dena.com/images/anime/1130/91352.jpg,"Ecchi, Comedy, School, Seinen",2010.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
